2.3. УДЕЛЬНЫЙ ВЕС ГОРОДСКОГО И СЕЛЬСКОГО НАСЕЛЕНИЯ;;;;;;;;;;;;;;
В ОБЩЕЙ ЧИСЛЕННОСТИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;
"(оценка на конец года; в процентах)";;;;;;;;;;;;;;
;Городское население;;;;;;;Сельское население;;;;;;
;2005;2010;2012;2013;2014;2015;2016;2005;2010;2012;2013;2014;2015;2016
Российская Федерация;73,2;73,8;74;74,2;74;74,1;74,3;26,8;26,2;26;25,8;26;25,9;25,7
Центральный;80,4;81,5;81,7;81,8;81,8;82;82,1;19,6;18,5;18,3;18,2;18,2;18;17,9
федеральный округ;;;;;;;;;;;;;;
Белгородская область;65,6;66,2;66,6;66,8;66,9;67,1;67,3;34,4;33,8;33,4;33,2;33,1;32,9;32,7
Брянская область;68,3;69,1;69,3;69,5;69,8;69,9;70,1;31,7;30,9;30,7;30,5;30,2;30,1;29,9
Владимирская область;77,2;77,7;77,6;77,7;77,8;77,9;78,1;22,8;22,3;22,4;22,3;22,2;22,1;21,9
Воронежская область;61,8;65,5;66,3;66,7;66,9;67,1;67,3;38,2;34,5;33,7;33,3;33,1;32,9;32,7
Ивановская область;80,5;81;81,1;81,1;81,2;81,3;81,4;19,5;19;18,9;18,9;18,8;18,7;18,6
Калужская область;75,2;76,3;75,9;75,9;76,2;76,1;76;24,8;23,7;24,1;24,1;23,8;23,9;24
Костромская область;68,6;70;70,5;70,8;71,3;71,5;71,9;31,4;30;29,5;29,2;28,7;28,5;28,1
Курская область;62,6;65,4;66,5;66,5;66,9;67,3;67,7;37,4;34,6;33,5;33,5;33,1;32,7;32,3
Липецкая область;63,1;63,7;64;64,1;64,2;64,2;64,2;36,9;36,3;36;35,9;35,8;35,8;35,8
Московская область;80,1;80,1;81,4;81,6;81,6;81,6;81,7;19,9;19,9;18,6;18,4;18,4;18,4;18,3
Орловская область;64,7;65,5;65,8;65,9;66,3;66,6;66,7;35,3;34,5;34,2;34,1;33,7;33,4;33,3
Рязанская область;70;70,9;71;71,1;71,2;71,4;71,7;30;29,1;29;28,9;28,8;28,6;28,3
Смоленская область;71,3;72,7;72,5;72,1;72;72;72,1;28,7;27,3;27,5;27,9;28;28;27,9
Тамбовская область;57,9;58,7;59,1;59,4;59,8;60,1;60,5;42,1;41,3;40,9;40,6;40,2;39,9;39,5
Тверская область;73,3;74,8;74,9;74,9;75,2;75,4;75,6;26,7;25,2;25,1;25,1;24,8;24,6;24,4
Тульская область;79,8;79,4;78,8;76,6;74,7;74,7;74,8;20,2;20,6;21,2;23,4;25,3;25,3;25,2
Ярославская область;81,5;82,2;81,9;81,8;81,7;81,7;81,7;18,5;17,8;18,1;18,2;18,3;18,3;18,3
г. Москва;100;100;98,9;98,9;98,8;98,8;98,8;-;-;1,1;1,1;1,2;1,2;1,2
Северо-Западный;82,6;83,6;83,8;83,9;84,1;84,2;84,3;17,4;16,4;16,2;16,1;15,9;15,8;15,7
федеральный округ;;;;;;;;;;;;;;
Республика Карелия;76,2;78,1;78,8;79,2;79,6;79,9;80,2;23,8;21,9;21,2;20,8;20,4;20,1;19,8
Республика Коми;75,8;77;77,3;77,5;77,7;77,9;78;24,2;23;22,7;22,5;22,3;22,1;22
Архангельская область;73,7;75,7;76,6;76,5;77;77,4;77,8;26,3;24,3;23,4;23,5;23;22,6;22,2
в том числе: ;;;;;;;;;;;;;;
Ненецкий автономный округ;65,3;67,9;70;70,8;71,7;72,4;72,4;34,7;32,1;30;29,2;28,3;27,6;27,6
Архангельская область;74;76;76,8;76,7;77,2;77,6;78;26;24;23,2;23,3;22,8;22,4;22
без автономного округа;;;;;;;;;;;;;;
Вологодская область;68,6;70,8;71,3;71,5;71,9;72;72,2;31,4;29,2;28,7;28,5;28,1;28;27,8
Калининградская область;77,3;77,6;77,5;77,6;77,7;77,7;77,8;22,7;22,4;22,5;22,4;22,3;22,3;22,2
Ленинградская область;66;65,7;65,2;64,9;64,6;64,2;64;34;34,3;34,8;35,1;35,4;35,8;36
Мурманская область;92,3;92,8;92,7;92,7;92,6;92,5;92,4;7,7;7,2;7,3;7,3;7,4;7,5;7,6
Новгородская область;70,8;70,7;70,5;70,5;70,9;70,8;70,8;29,2;29,3;29,5;29,5;29,1;29,2;29,2
Псковская область;68,3;70,2;70,3;70,2;70,4;70,5;70,7;31,7;29,8;29,7;29,8;29,6;29,5;29,3
г. Санкт-Петербург;100;100;100;100;100;100;100;-;-;-;-;-;-;-
Южный;62,3;62,5;62,6;62,8;62,2;62,3;62,4;37,7;37,5;37,4;37,2;37,8;37,7;37,6
федеральный округ;;;;;;;;;;;;;;
Республика Адыгея;51,4;50,9;47;47;47,1;47,3;47,3;48,6;49,1;53;53;52,9;52,7;52,7
Республика Калмыкия;43,9;44,1;44,7;44,9;45,1;45,2;45,3;56,1;55,9;55,3;55,1;54,9;54,8;54,7
Республика Крым;;;;;50,7;50,8;50,9;;;;;49,3;49,2;49,1
Краснодарский край;52,8;52,9;53,5;53,9;54,1;54,3;54,6;47,2;47,1;46,5;46,1;45,9;45,7;45,4
Астраханская область;67,7;66,7;66,7;66,7;66,5;66,5;66,5;32,3;33,3;33,3;33,3;33,5;33,5;33,5
